"","metadata",""
"access_care_indicator",1,4052
"acs_postsecondary_percent",1,25446
"adequate",1,925
"adequate_pc",1,925
"adequateplus",1,925
"adequateplus_pc",1,925
"affordability_index",1,14274
"affordability_indicator",1,2052
"age_20_64_percent_direct",1,26389
"age_65_plus_percent_direct",1,26389
"age_under_20_percent_direct",1,26389
"air_quality_indicator",1,4052
"alice_pct",1,933
"average_years_schooling",1,10642
"avg_down_using_devices",1,1705
"avg_monthly_rate",1,1171
"avg_up_using_devices",1,1705
"Child_Food_Insecurity_Rate",1,1008
"community_environment_indicator",1,2168
"consumer_opportunity_indicator",1,2168
"Cost_Per_Meal",1,1008
"daycare_capacity",1,2358
"daycare_min_drivetime",1,2358
"daycare_ratio",1,2358
"daycare_ratio_over_4",1,2358
"daycare_ratio_under_10",1,2358
"dent_cnt",1,2403
"dent_e2sfca",1,2386
"devices",1,6174
"disconnectedYouth",1,352
"earnings_per_job",1,1176
"economic_opportunity_indicator",1,2168
"education_indicator",1,2052
"emp_rate",1,14619
"employment_access_indicator",1,2052
"employment_access_sqmi",0,0
"ems_3sfca",1,2386
"ems_cnt",1,2403
"ems_near_10_median",1,2386
"food_accessibility_indicator",1,4052
"fruit_treeNut_total_sales",1,70
"gender_female_percent_direct",1,26389
"gender_male_percent_direct",1,26389
"gini_index",1,14839
"health_opportunity_indicator",1,2168
"hh_received_snap_cnt",1,16863
"hh_received_snap_pct",1,16863
"inadequate",1,925
"inadequate_pc",1,925
"incarceration_rate_per_100000",1,2364
"income_inequality_indicator",1,2052
"intermediate",1,925
"intermediate_pc",1,925
"job_participate_rate",0,0
"job_participation_indicator",1,2052
"labor_participate_rate",1,14899
"language_hh_limited_english_percent_direct",1,12816
"material_deprivation_indicator",1,14851
"median_household_income",1,11146
"median_read_pass_rate",1,778
"mental_3sfca",1,2386
"mental_cnt",1,2403
"mental_near_10_median",1,2385
"NAICS11_business_create_job",1,1164
"NAICS11_business_destruction_job",1,1068
"NAICS11_entry_rate",1,4267
"NAICS11_exit_business",1,4267
